"USER_ID","MYID","ACCOUNT","NAME","ORGANIZE_ID","ORGANIZE_NAME","DUTY_ID","TITLE_ID","PASSWORD","EMAIL","LANG","THEME","FIRST_VISIT","PREVIOUS_VISIT","LAST_VISITS","LOGIN_COUNT","ISEMPLOYEE","STATUS","IP","DESCRIPTION","QUESTION_ID","ANSWER","ISONLINE","CREATED","LASTMOD","CREATER","MODIFYER","TEL","stuNo","qq","weixin","meal_arithmetic_id","arithmetic_name","sex","poo","address","age","type"
3300,NA,"艾朵","a2328",330,"统计17级",NA,NA,"202cb962ac59075b964b07152d234b1752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015/8/17 20:09:12",NA,1070,NA,18688882452,2019351,NA,NA,NA,NA,"男","广东汕尾","广州",26,"非流失"
3497,NA,"艾国真","a2525",330,"统计17级",NA,NA,"202cb962ac59075b964b07152d234b1949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014/10/31 12:06:14",NA,1070,NA,18688882649,2019548,NA,NA,NA,NA,"男","广东汕尾","广州",43,"非流失"
2863,NA,"艾锦程","a1891",330,"统计17级",NA,NA,"202cb962ac59075b964b07152d234b1315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014/6/3 12:19:49",NA,1070,NA,18688882015,2018914,NA,NA,NA,NA,"男","广东汕尾","佛山",58,"已流失"
3006,NA,"艾穹","a2034",330,"统计17级",NA,NA,"202cb962ac59075b964b07152d234b1458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015/4/25 19:03:47",NA,1070,NA,18688882158,2019057,NA,NA,NA,NA,"女","四川广安","广州",22,"已流失"
3160,NA,"艾融乐","a2188",330,"统计17级",NA,NA,"202cb962ac59075b964b07152d234b1612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015/11/8 12:34:31",NA,1070,NA,18688882312,2019211,NA,NA,NA,NA,"女","广东中山","广州",20,"非流失"
1157,NA,"艾少雄","a182",330,"统计17级",NA,NA,"202cb962ac59075b964b07152d234b70",NA,NA,NA,"2014/9/27 20:46:36",NA,"2016/8/20 18:29:48",NA,NA,NA,NA,NA,NA,NA,NA,"2014/9/27 20:46:36",NA,1070,NA,18688880228,2017182,NA,NA,NA,"","男","广西贺州","广州",35,"非流失"
1158,NA,"艾小金","a183",330,"统计17级",NA,NA,"202cb962ac59075b964b07152d234b70",NA,NA,NA,"2014/7/15 19:46:57",NA,"2016/8/24 19:12:46",NA,NA,NA,NA,NA,NA,NA,NA,"2014/7/15 19:46:57",NA,1070,NA,18688880328,2017183,NA,NA,NA,"","女","广西北海","广州",44,"准流失"
3153,NA,"艾迎春","a2181",330,"统计17级",NA,NA,"202cb962ac59075b964b07152d234b1605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014/9/9 13:29:05",NA,1070,NA,18688882305,2019204,NA,NA,NA,NA,"女","广西梧州","广州",49,"已流失"
2610,NA,"安公啸","a1638",330,"统计17级",NA,NA,"202cb962ac59075b964b07152d234b1062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015/8/14 18:16:51",NA,1070,NA,18688881762,2018661,NA,NA,NA,NA,"女","广东清远","广州",28,"准流失"
2774,NA,"安柜吃","a1802",330,"统计17级",NA,NA,"202cb962ac59075b964b07152d234b1226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015/2/19 13:03:03",NA,1070,NA,18688881926,2018825,NA,NA,NA,NA,"男","广东珠海","广州",49,"已流失"
2007,NA,"安笑萌","a1035",330,"统计17级",NA,NA,"202cb962ac59075b964b07152d234b459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014/5/14 18:53:31",NA,1070,NA,18688881159,2018058,NA,NA,NA,NA,"女","广西来宾","广州",27,"准流失"
3291,NA,"安一生","a2319",330,"统计17级",NA,NA,"202cb962ac59075b964b07152d234b1743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015/12/19 18:19:41",NA,1070,NA,18688882443,2019342,NA,NA,NA,NA,"男","广东深圳","广州",36,"准流失"
3087,NA,"安子奕","a2115",330,"统计17级",NA,NA,"202cb962ac59075b964b07152d234b1539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014/9/29 19:39:38",NA,1070,NA,18688882239,2019138,NA,NA,NA,NA,"男","广东佛山","广州",32,"非流失"
3062,NA,"敖炜钧","a2090",330,"统计17级",NA,NA,"202cb962ac59075b964b07152d234b1514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015/7/5 21:35:35",NA,1070,NA,18688882214,2019113,NA,NA,NA,NA,"女","广西北海","广州",33,"准流失"
2451,NA,"白常瑾","a1479",330,"统计17级",NA,NA,"202cb962ac59075b964b07152d234b903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014/1/11 17:49:54",NA,1070,NA,18688881603,2018502,NA,NA,NA,NA,"女","广西北海","广州",30,"非流失"
